f3_spf3_perturbaciones_cobertura_id_;conglomerado_id_;f3_spf3_perturbaciones_cobertura_tipo_perturbacion;f3_spf3_perturbaciones_cobertura_tipo_perturbacion_code_id_;f3_spf3_perturbaciones_cobertura_severidad_perturbacion;f3_spf3_perturbaciones_cobertura_severidad_perturbacion_code_id;f3_spf3_perturbaciones_cobertura_tipo_cobertura;f3_spf3_perturbaciones_cobertura_tipo_cobertura_code_id_;f3_spf3_perturbaciones_cobertura_porcentaje;observacion;codigo_conglomerado;anio_ejecucion;anioVigencia;codigo_subparcela;ID_CONGLOMERADO_SEQ;ID_BRIG_CONG;ID_SUBPARCELA
14000317;14000001;CA;153;FP;166;MA;220;100;Sin observaciones;186943;2016;2016;3;;;
14000323;14000001;CL;154;FP;166;-1;;;Sin observaciones;186943;2016;2016;3;;;
15000364;15000001;CN;155;FP;166;AB;214;25;;052321;2016;2016;3;;;
15000370;15000001;PC;160;MP;167;BT;216;50;;052321;2016;2016;3;;;
15000376;15000001;SP;162;FP;166;HE;219;10;;052321;2016;2016;3;;;
15000382;15000001;-1;-1;-1;-1;MA;220;15;;052321;2016;2016;3;;;
19000363;19000001;CN;155;MP;167;AB;214;40;;090512;2016;2016;3;;;
19000369;19000001;PC;160;MP;167;BT;216;45;;090512;2016;2016;3;;;
19000375;19000001;SP;162;MP;167;HE;219;5;;090512;2016;2016;3;;;
19000381;19000001;-1;-1;-1;-1;MA;220;10;;090512;2016;2016;3;;;
20000250;20000001;CA;153;MP;167;BI;217;50;no;071442;2016;2016;3;;;
20000256;20000001;EA;156;MP;167;AB;214;30;no;071442;2016;2016;3;;;
20000262;20000001;PC;160;MP;167;RA;223;20;no;071442;2016;2016;3;;;
21000328;21000001;SP;162;NP;168;BT;216;100;Sin observaciones;002343;2016;2016;3;;;
24000306;24000001;SP;162;NP;168;BT;216;100;Sin observaciones;002123;2016;2016;3;;;
25000316;25000001;SP;162;NP;168;BT;216;100;Sin Observacion;003641;2016;2016;3;;;
26000274;26000001;SP;162;NP;168;BT;216;100;Sin Observacion;005334;2016;2016;3;;;
28000332;28000001;CA;153;FP;166;AB;214;5;;122232;2016;2016;3;;;
28000338;28000001;EA;156;FP;166;CU;218;5;;122232;2016;2016;3;;;
28000344;28000001;PA;159;FP;166;HE;219;40;;122232;2016;2016;3;;;
28000350;28000001;PC;160;MP;167;MA;220;15;;122232;2016;2016;3;;;
28000356;28000001;PE;161;FP;166;PA;221;20;;122232;2016;2016;3;;;
28000362;28000001;VI;163;FP;166;RA;223;15;;122232;2016;2016;3;;;
29000272;29000001;CN;155;MP;167;AB;214;5;;131144;2016;2016;3;;;
29000278;29000001;PC;160;MP;167;HE;219;5;;131144;2016;2016;3;;;
29000284;29000001;VI;163;FP;166;MA;220;50;;131144;2016;2016;3;;;
29000290;29000001;HV;158;MP;167;RA;223;40;;131144;2016;2016;3;;;
30000282;30000001;CN;155;FP;166;AR;215;100;Pared de piedras;105433;2016;2016;3;;;
31000264;31000001;CN;155;MP;167;BT;216;33,3;;100824;2016;2016;3;;;
31000270;31000001;-1;-1;-1;-1;AR;215;33,3;;100824;2016;2016;3;;;
31000276;31000001;-1;-1;-1;-1;RA;223;33,3;;100824;2016;2016;3;;;
32000335;32000001;CN;155;MP;167;BT;216;100;;087014;2016;2016;3;;;
33000317;33000001;CA;153;FP;166;CU;218;40;;109013;2016;2016;3;;;
33000323;33000001;EA;156;FP;166;HE;219;20;;109013;2016;2016;3;;;
33000329;33000001;FU;157;NP;168;MA;220;10;;109013;2016;2016;3;;;
33000335;33000001;HV;158;MP;167;PA;221;30;;109013;2016;2016;3;;;
33000341;33000001;PC;160;MP;167;-1;-1;;;109013;2016;2016;3;;;
33000347;33000001;PE;161;MP;167;-1;-1;;;109013;2016;2016;3;;;
33000353;33000001;VI;163;MP;167;-1;-1;;;109013;2016;2016;3;;;
34000320;34000001;CN;155;MP;167;AB;214;20;;113442;2016;2016;3;;;
34000326;34000001;VI;163;MP;167;AR;215;15;;113442;2016;2016;3;;;
34000332;34000001;-1;-1;-1;-1;HE;219;20;;113442;2016;2016;3;;;
34000338;34000001;-1;-1;-1;-1;MA;220;5;;113442;2016;2016;3;;;
34000344;34000001;-1;-1;-1;-1;RA;223;40;;113442;2016;2016;3;;;
35000279;35000001;CN;155;MP;167;BT;216;100;Sin observaciones;185711;2016;2016;3;;;
