f5_coleccion_botanica_id_;conglomerado_id_;codigo_subparcela;tipo_individuo;f5_coleccion_botanica_no_id;nombre_comun;familia_taxonomica;no_familia_en_lista;genero_taxonomico;no_genero_en_lista;especie_taxonomica;no_especie_en_lista;observaciones_individuo;numero_colector;colectada;codigo_parcela;anio_ejecucion;anioVigencia;ID_PPERMANENTE_SEQ;ID_BRIG_CONG
3004837;3000001;3;b;62;guasca;lecythidaceae;;eschweilera;;-1;sp1;con altura total de 90cm;HG 0026;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3004870;3000001;3;b;63;coco de monte;indeterminada;;-1;;-1;;Hojas simples, altura total de 60cm;HG 0027;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3004903;3000001;3;b;64;;-1;;-1;;-1;;La especie presenta 2 individuos, los cuales serán registrados con los números del 64-65, por lo tanto solo se realizará una colecta. Tienen una altura promedio de 65cm;HG 0028;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3004936;3000001;3;b;65;;-1;;-1;;-1;;no;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3004969;3000001;3;l;66;;lecythidaceae;;eschweilera;;-1;sp2;Árbol con altura total de 5m, hojas alternas con mínimo daño.;HG 0029;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3005002;3000001;3;l;67;cafecillo;rubiaceae;;palicourea;;-1;gomezii;Árbol con altura aproximada de 4.50m;HG 0030;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3005035;3000001;3;l;68;;-1;;-1;;-1;;Muerto en pié;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005068;3000001;3;l;69;guayabo;euphorbiaceae;;mabea;;occidentalis;;Exudado blanco lechoso, presenta hojas simples alternas.;HG 0031;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3005101;3000001;3;l;70;cascajero;melastomataceae;;miconia;;reducens;;Altura total de 11.40m;HG 0032;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3005134;3000001;3;l;71;guayabo;euphorbiaceae;;mabea;;-1;;Especie anteriormente colectada (es igual al  individuo 69);.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005167;3000001;3;l;72;cafecillo;rubiaceae;;palicourea;;-1;gomezii;Especie anteriormente colectada (es igual al  individuo 67);.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005200;3000001;3;l;73;;-1;;-1;;-1;;"Presencia de exudado transparente, hojas grandes; envés y haz iguales";HG 0033;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3005233;3000001;3;f;74;;-1;;-1;;-1;;Muerto en pié;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005266;3000001;3;f;75;manchará blanco;melastomataceae;;miconia;;-1;sp1;no lechoso, tallo escamoso;HG 0034;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3005299;3000001;3;f;76;amargozo;euphorbiaceae;;croton;;-1;jorgei;Con florescencia;HG 0035;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3005332;3000001;3;f;77;guamo;fabaceae;;inga;;-1;sp1;Hojas simples, de color verde manchadas;HG 0036;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3005365;3000001;3;f;78;caimito;euphorbiaceae;;mabea;;occidentalis;;Exudado lechoso no pegajoso;HG 0037;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3005398;3000001;3;f;79;lirio;apocynaceae;;couma;;macrocarpa;;Tallo con exudado blanco lechoso y pegajoso, hojas grandes;HG 0038;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3005431;3000001;3;f;80;;-1;;-1;;-1;;Hojas simples compuestas;HG 0039;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3005464;3000001;3;f;81;;-1;;-1;;-1;;Tocón;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005497;3000001;3;f;82;;-1;;-1;;-1;;Tocón;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005530;3000001;3;f;83;;-1;;-1;;-1;;Muerto en pié;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005563;3000001;3;f;84;guamo;fabaceae;;inga;;-1;;Altura total de 9.80m;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005596;3000001;3;f;85;;-1;;-1;;-1;;Tocón;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005629;3000001;3;fg;86;guamo rosario;fabaceae;;macrolobium;;-1;sp1;Tallo rugoso de color rojizo;HG 0040;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3005662;3000001;3;fg;87;guasco;-1;;-1;;-1;;Árbol con altura máxima de 28m, por lo tanto no se obtuvo muestra;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005695;3000001;3;fg;88;noanamo;-1;;-1;;-1;;No se colecto porque presenta una altura máxima de 27m;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005728;3000001;3;fg;89;volador;linaceae;;roucheria;;-1;sp1;Tallo liso, altura aproximada de 21m;HG 0041;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3005761;3000001;4;b;90;jaboncillo;rubiaceae;;isertia;;pittieri;;La especie presenta 4 individuos, los cuales serán registrados con los números del 90-93, por lo tanto solo se realizará una colecta. Tienen una altura promedio de 1.20m;HG 0042;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3005794;3000001;4;b;91;jaboncillo;rubiaceae;;isertia;;pittieri;;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005827;3000001;4;b;92;jaboncillo;rubiaceae;;isertia;;pittieri;;Especie anteriormente colectada;;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005860;3000001;4;b;93;jaboncillo;rubiaceae;;isertia;;pittieri;;Especie anteriormente colectada;;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005893;3000001;4;b;94;cascajero;melastomataceae;;miconia;;reducens;;La especie presenta 9 individuos, los cuales serán registrados con los números del 94-102, por lo tanto solo se realizará una colecta.;HG 0043;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3005926;3000001;4;b;95;cascajero;melastomataceae;;miconia;;reducens;;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005959;3000001;4;b;96;cascajero;melastomataceae;;miconia;;reducens;;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3005992;3000001;4;b;97;cascajero;melastomataceae;;miconia;;reducens;;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006025;3000001;4;b;98;cascajero;melastomataceae;;miconia;;reducens;;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006058;3000001;4;b;99;cascajero;melastomataceae;;miconia;;reducens;;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006091;3000001;4;b;100;cascajero;melastomataceae;;miconia;;reducens;;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006124;3000001;4;b;101;cascajero;melastomataceae;;miconia;;reducens;;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006157;3000001;4;b;102;cascajero;melastomataceae;;miconia;;reducens;;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006190;3000001;4;b;103;yarumo;urticaceae;;-1;Cecropia;-1;peltata;La especie presenta 2 individuos, los cuales serán registrados con los números del 103-104, por lo tanto solo se realizará una colecta.;HG 0044;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3006223;3000001;4;b;104;yarumo;urticaceae;;-1;Cecropia;-1;peltata;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006256;3000001;4;fg;105;anime;-1;;-1;;-1;;Árbol de tallo blanco;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006289;3000001;4;fg;106;hueso;-1;;-1;;-1;;Árbol con altura máxima de 25m. por lo tanto no se pudo colectar;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006322;3000001;4;fg;107;guascapeo;lecythidaceae;;couratari;;guianensis;;Árbol con altura aproximada de 16m.;HG 0045;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3006652;3000001;5;b;117;;melastomataceae;;miconia;;-1;sp3;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006355;3000001;5;b;108;cargadero;annonaceae;;xylopia;;-1;sp1;no;HG 0046;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3006388;3000001;5;b;109;chucho;apocynaceae;;thevetia;;-1;;no;HG 0047;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3006421;3000001;5;b;110;guamo;fabaceae;;inga;;-1;;no;HG 0048;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3006454;3000001;5;b;111;aserrín;fabaceae;;pentaclethra;;-1;;No se realizá la colecta debido a que hay un individuo con una sola hoja.;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006487;3000001;5;b;112;carbonero;-1;;-1;;-1;;No se realizá la colecta debido a que hay un individuo de la especie, planta sola.;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006520;3000001;5;b;113;hormigo;melastomataceae;;miconia;;-1;sp4;No se realizá la colecta debido a que hay un individuo de la especie, planta sola.;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006553;3000001;5;b;114;guasca;lecythidaceae;;eschweilera;;-1;sp1;No se realizá la colecta debido a que hay un solo individuo con pocas hojas. registro fotográfico;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006586;3000001;5;b;115;cauchillo hojas grandes;moraceae;;brosimum;;-1;sp1;No se realizá la colecta debido a que hay un solo individuo con pocas hojas. registro fotográfico.;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006619;3000001;5;b;116;;melastomataceae;;miconia;;-1;sp3;La especie presenta 2 individuos, los cuales serán registrados con los números del 116-117, por lo tanto solo se realizará una colecta.;HG 0049;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3006685;3000001;5;l;118;cascajero;melastomataceae;;miconia;;reducens;;Árbol en estado de florescencia;HG 0050;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3006718;3000001;5;l;119;;indeterminada;;-1;;-1;;Hojas alternas;HG 0051;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3006751;3000001;5;l;120;hormigo blanco;melastomataceae;;miconia;;-1;sp2;Hojas pequeñas opuestas;HG 0052;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3006784;3000001;5;l;121;;euphorbiaceae;;croton;;-1;lanjowensis;no;HG 0053;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3006817;3000001;5;l;122;;fabaceae;;macrolobium;;-1;sp2;no;HG 0054;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3006850;3000001;5;f;123;;-1;;-1;;-1;;Muerto;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006883;3000001;5;f;124;guasca;lecythidaceae;;eschweilera;;-1;sp1;No se puede realizar la colecta porque el árbol está a más de 20m de altura;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006916;3000001;5;f;125;palma de mil peso;-1;;-1;;-1;;No se puede realizar la colecta porque el árbol está a más de 10m de altura;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3006949;3000001;5;f;126;guayabo;rubiaceae;;-1;;-1;;Planta en estado de florescencia, con hojas pequeñas y opuestas.;HG 0056;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3006982;3000001;5;fg;127;;-1;;-1;;-1;;No se pudieron obtener muestra por estar muy alto;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3007015;3000001;5;fg;128;así;-1;;-1;;-1;;No se pudieron obtener muestra por estar muy alto;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
4003616;4000001;1;l;1;;fabaceae;;inga;;-1;;;3369;Y;046143;${anio_ejecucion};2016;;
4003649;4000001;1;l;2;;burseraceae;;crepidospermum;;-1;;Exudado hialino, escaso, pegajoso y aromático;3370;Y;046143;${anio_ejecucion};2016;;
4003682;4000001;1;l;3;;violaceae;;rinorea;;-1;;Peciolo corto y color morado;3371;Y;046143;${anio_ejecucion};2016;;
4003715;4000001;1;l;4;;violaceae;;rinorea;;-1;;igual a No. Ind. ID 3;;N;046143;${anio_ejecucion};2016;;
4003748;4000001;1;l;5;;lecythidaceae;;-1;;-1;;Exudado hialino, lechoso, con aroma agradable;3368;Y;046143;${anio_ejecucion};2016;;
4003781;4000001;1;l;6;;myristicaceae;;-1;;-1;;;3372;Y;046143;${anio_ejecucion};2016;;
4003814;4000001;1;l;7;;myrtaceae;;-1;;-1;;;3353;Y;046143;${anio_ejecucion};2016;;
4003847;4000001;1;l;8;;malvaceae;;theobroma;;subincana;;;;N;046143;${anio_ejecucion};2016;;
4003880;4000001;1;l;9;;-1;;-1;;-1;;Muerto. Inicialmente se incluyó en la toma de datos pero se descarta porque corresponde a un latizal muerto en pie.;;N;046143;${anio_ejecucion};2016;;
4003913;4000001;1;l;10;;rubiaceae;;-1;;-1;;;3336;Y;046143;${anio_ejecucion};2016;;
4003946;4000001;1;l;11;;fabaceae;;inga;;-1;;;3381;Y;046143;${anio_ejecucion};2016;;
4003979;4000001;1;l;12;;fabaceae;;swartzia;;-1;;;3378;Y;046143;${anio_ejecucion};2016;;
4004012;4000001;1;f;13;;indeterminada;;-1;;-1;;;3373;Y;046143;${anio_ejecucion};2016;;
4004045;4000001;1;f;14;;fabaceae;;-1;;-1;;;3384;Y;046143;${anio_ejecucion};2016;;
4004078;4000001;1;f;15;palo fariño;fabaceae;;clathrotropis;;macrocarpa;;;;N;046143;${anio_ejecucion};2016;;
4004111;4000001;1;f;16;patabá;arecaceae;;oenocarpus;;-1;;;;N;046143;${anio_ejecucion};2016;;
4004144;4000001;1;f;17;;myristicaceae;;-1;;-1;;Exudado rojizo aguado, escaso y aromático;3382;Y;046143;${anio_ejecucion};2016;;
4004177;4000001;1;f;18;;myristicaceae;;-1;;-1;;Exudado hialino lechoso, escaro y sin olor;3383;Y;046143;${anio_ejecucion};2016;;
4004210;4000001;1;f;19;;fabaceae;;-1;;-1;;Corte olor a fríjol;3380;Y;046143;${anio_ejecucion};2016;;
